GeneSymbol	TCGA-A6-3807-01A-22	TCGA-A6-3808-01A-22	TCGA-A6-3810-01A-22	TCGA-AA-3518-01A-11	TCGA-AA-3525-01A-12	TCGA-AA-3526-01A-11	TCGA-AA-3529-01A-12	TCGA-AA-3531-01A-22	TCGA-AA-3534-01A-22	TCGA-AA-3552-01A-22	TCGA-AA-3554-01A-22	TCGA-AA-3558-01A-22	TCGA-AA-3561-01A-22	TCGA-AA-3664-01A-22	TCGA-AA-3666-01A-31	TCGA-AA-3672-01A-22	TCGA-AA-3684-01A-31	TCGA-AA-3695-01A-22	TCGA-AA-3710-01A-22	TCGA-AA-3715-01A-22	TCGA-AA-3818-01A-22	TCGA-AA-3848-01A-22	TCGA-AA-3864-01A-22	TCGA-AA-3986-01A-12	TCGA-AA-3989-01A-22	TCGA-AA-A004-01A-22	TCGA-AA-A00A-01A-22	TCGA-AA-A00E-01A-31	TCGA-AA-A00F-01A-31	TCGA-AA-A00J-01A-12	TCGA-AA-A00K-01A-12	TCGA-AA-A00N-01A-32	TCGA-AA-A00O-01A-13	TCGA-AA-A00R-01A-22	TCGA-AA-A00U-01A-41	TCGA-AA-A010-01A-31	TCGA-AA-A017-01A-22	TCGA-AA-A01C-01A-22	TCGA-AA-A01D-01A-23	TCGA-AA-A01F-01A-23	TCGA-AA-A01I-01A-12	TCGA-AA-A01K-01A-31	TCGA-AA-A01P-01A-23	TCGA-AA-A01R-01A-23	TCGA-AA-A01S-01A-23	TCGA-AA-A01T-01A-23	TCGA-AA-A01V-01A-24	TCGA-AA-A01X-01A-23	TCGA-AA-A01Z-01A-13	TCGA-AA-A022-01A-23	TCGA-AA-A024-01A-32	TCGA-AA-A029-01A-41	TCGA-AA-A02E-01A-23	TCGA-AA-A02H-01A-32	TCGA-AA-A02J-01A-23	TCGA-AA-A02O-01A-23	TCGA-AA-A02R-01A-23	TCGA-AA-A02Y-01A-31	TCGA-AA-A03F-01A-41	TCGA-AA-A03J-01A-23	TCGA-AF-2691-01A-41	TCGA-AF-2692-01A-41	TCGA-AF-3400-01A-41	TCGA-AF-3913-01A-12	TCGA-AG-3574-01A-22	TCGA-AG-3580-01A-22	TCGA-AG-3584-01A-22	TCGA-AG-3593-01A-22	TCGA-AG-3594-01A-12	TCGA-AG-4007-01A-22	TCGA-AG-A002-01A-23	TCGA-AG-A008-01A-23	TCGA-AG-A00C-01A-23	TCGA-AG-A00H-01A-22	TCGA-AG-A00Y-01A-12	TCGA-AG-A011-01A-32	TCGA-AG-A014-01A-12	TCGA-AG-A015-01A-51	TCGA-AG-A016-01A-23	TCGA-AG-A01J-01A-22	TCGA-AG-A01L-01A-22	TCGA-AG-A01N-01A-23	TCGA-AG-A01W-01A-23	TCGA-AG-A01Y-01A-43	TCGA-AG-A020-01A-23	TCGA-AG-A026-01A-71	TCGA-AG-A02N-01A-31	TCGA-AG-A02X-01A-32	TCGA-AG-A032-01A-31	TCGA-AG-A036-01A-22
A1BG	2.987927168	4.357552005	4.285648812	4.467714224	2.979415668	3.561529806	3.060047384	3.273018494	4.067523994	3.303537235	2.874469118	3.79146681	3.695251495	3.771533487	1.59454855	2.567220918	3.814892173	3.444490385	1.877089818	4.015545145	3.904644656	2.880359013	2.897240426	4.40053793	1.887525271	4.295233228	3.287373787	3.771533487	3.632655985	4.010779839	3.816258361	5.911212202	3.806667761	4.308642404	3.792855352	4.424474255	3.47940304	3.668270438	4.773117223	2.807354922	3.139687771	3.152724261	3.378511623	3.647698256	3.366438791	3.239296196	3.642701572	2.59614005	4.160274831	4.445373578	4.69803322	3.469017667	3.770124261	3.898853277	3.276992863	3.704134202	4.80512045	3.555816155	2.91201108	2.772589504	1.644625422	3.904323522	5.495055528	4.107129875	0	3.94204526	2.871843649	3.370164281	3.383128251	0	3.276992863	3.692278398	2.030924573	2.979415668	3.469017667	3.430285273	3.451540833	3.088593923	1.481987743	4.035037329	3.41774002	2.449781449	3.499527024	4.232404937	3.576118982	3.555816155	3.290326098	4.190878198	2.301587647	3.926632041
A1CF	1.337235348	0	0.995182984	0	0	0.635367454	0	2.275007047	1.669026766	0	0	1.793549123	2.499101764	0	2.358021097	0	1.461179281	0.742724863	0.565597176	0.019108823	0	0.363638347	0	0.941106311	1.559083869	1.329602023	0	0.429392792	0.748461233	0	0	0.009586049	0	0	1.461179281	1.86393845	0.333423734	1.783805848	0.009586049	2.242856524	0.565597176	0.739848103	0	0	1.850666093	2.207892852	0	0	0	0	0.884923476	1.418639736	1.531069493	1.440066294	2.868555078	1.141868716	0	0.787989597	1.578536232	2.174193333	2.469885976	0.948600847	1.113255978	0	0	1.385891154	0.635367454	0	1.184809239	0.799087306	0	1.359895945	1.560714954	0	1.310340121	0	1.102098188	1.810100299	0.782408565	0	0.742724863	2.174193333	1.600904045	0	2.088593923	2.088593923	0.754174884	0	0.946106992	1.90560763
A2M	6.970163425	7.533719071	6.324450605	7.746267973	6.689858236	6.296518589	5.998496409	6.181102551	6.970163425	6.430842793	6.512016136	7.331693275	6.653442239	6.15839089	6.229203358	6.076316801	6.492761174	6.109987319	6.524815928	6.689858236	6.46128844	6.7359734	6.262658655	6.696550301	5.400993254	6.708463165	6.413063715	6.763145958	5.924891662	6.91201108	7.174659417	7.474571242	6.148662998	6.605257263	6.15839089	6.589014385	6.089582893	6.229203358	7.157111099	6.730368236	5.612549091	5.894656108	6.082929625	5.331514144	6.609991295	6.593951284	6.367487558	5.55755305	5.165911939	6.544320516	7.665667533	6.882398504	4.673933254	5.917193037	6.320544849	5.89659478	7.271400774	6.815575429	5.762171613	5.22650853	5.396890153	6.634593268	7.665667533	5.659163443	3.597332524	5.753461914	6.408258967	6.316628491	7.37045493	5.682666927	7.166581558	6.520212692	5.059470652	6.664340612	6.221361557	6.079804755	7.291186051	5.322288724	5.140369671	6.72474121	6.04701482	5.515804949	6.768007838	6.106850796	6.619902043	5.751677946	5.703857443	6.520212692	6.390140288	5.987320866
A2ML1	2.021479727	2.811471031	2.322889571	1.656877683	1.826463745	1.329602023	1.584962501	1.59454855	2.099856237	1.701918647	1.83052577	0	1.30256277	1.329602023	1.242856524	1.318075769	2.151642375	1.826463745	1.542670779	3.662965013	1.855989697	1.385891154	1.209973162	1.976974559	0.584962501	2	0.821029859	1.76836079	2.372952098	1.754174884	2.225480603	2.890122382	0.980634675	1.765534746	1.461179281	1.86393845	0.910732662	1.783805848	2.559083869	1.448900951	1.578536232	0.739848103	1.86393845	1.374807654	1.850666093	1.054269663	0.672048117	0.519374159	2.586564605	1.701918647	1.514332704	1.722466024	1.531069493	1.810100299	2.303537235	1.141868716	2.096486765	1.310340121	1.197446064	1.22650853	0.980634675	1.385891154	2.559899642	1.807354922	2.352381891	1.385891154	2.004800986	1.425817338	1.895302621	0.799087306	1.492280498	1.734077315	1.560714954	2.115477217	1.559083869	1.748461233	1.492280498	1.481987743	0.782408565	1.450661409	0.742724863	1	2.070389328	1.318075769	1.659924558	1.124328135	1.877089818	2.102098188	1.559083869	0.742724863
AAAS	1.337235348	0	0.995182984	1.312277925	2.31421313	1.76836079	1.915839552	2.735522177	2.099856237	2.497399469	1.40780593	2.425817338	2.720278465	2.380360048	1.59454855	2.063502942	0.812840461	1.826463745	2.117695043	1.693022247	1.855989697	1.710760524	2.897240426	0	1.887525271	0	2.938599455	0.983069604	2.112144074	2.088593923	1.762703156	0.009586049	0.429392792	0.748461233	2.019108823	0	1.847996907	0.519374159	0.009586049	2.242856524	1.578536232	1.389566812	0.736965594	2.40599236	1.850666093	1.895302621	1.762703156	2.372952098	2.586564605	2.019108823	0.884923476	0.995182984	0.539365634	0.804604311	1.869213392	1.141868716	0	0.787989597	1.578536232	2.600904045	2.765534746	1.385891154	2.207892852	0.754174884	1.418639736	2.818305222	1.294743266	1.425817338	1.184809239	1.495695163	1.987927168	2.343881536	2.382206107	1.389566812	0.799087306	2.597729797	2.704871964	1.481987743	2.358021097	1.845322772	2.3950628	2.690789548	2.070389328	0	3.42312992	1.481987743	2.485426827	3.750606505	1.559083869	1.457681837
AACS	1.337235348	0	0	0.635367454	0	1.329602023	1.584962501	1.141868716	0	2.007195501	0.748461233	0.748461233	1.30256277	2.088593923	1.242856524	2.745595899	0	0.742724863	1.542670779	0.019108823	0.799087306	0.363638347	2.385891154	0	1.184809239	0.701918647	0	1.76836079	1.803227036	1.329602023	2.597729797	0.009586049	1.687060688	0	1.461179281	0	1.597729797	0	0.009586049	0	1.141868716	0.739848103	0.736965594	0.910732662	0.559083869	0.457681837	1.341036918	2.59614005	0	0	0.884923476	1.98550043	0.539365634	0	1.271027197	3.108803211	0	2.630716096	1.197446064	0	0	0.948600847	2.207892852	0	0.799087306	1.385891154	1.294743266	0	0	0.799087306	1.492280498	0.701918647	2.030924573	0	1.559083869	0.635367454	1.102098188	1.810100299	0.782408565	0	1.385891154	0	0	0	1.659924558	0	1.877089818	0	0	0.742724863
AARS	4.272520928	4.782059033	4.848330825	4.840127489	5.329123596	5.050211446	4.957759861	5.140369671	4.801848446	4.723194474	4.931683057	4.963011648	5.00030053	5.433404615	5.322288724	5.223165087	4.828157646	4.333423734	5.450221496	3.662965013	4.718818247	5.223165087	4.617455221	5.006597245	4.553360503	4.602092589	4.504832226	5.190088041	4.636527954	4.928054427	5.179378346	4.561122438	4.828157646	5.146084939	4.748819	4.531069493	4.732450113	4.779960058	4.667892125	4.507160349	5.243999052	4.914723964	5.140369671	4.822220272	4.889473543	4.531901257	4.66106548	4.687060688	3.799087306	4.894332742	4.632655985	5.031512828	4.965938164	4.343881536	4.794762418	5.019108823	4.592158002	5.667513713	4.801848446	5.069816716	4.658782734	5.041476636	4.56701805	5.104895736	5.084347785	4.931683057	5.183486514	4.76694846	5.202809492	4.574101508	5.29963542	4.782059033	4.088593923	4.852331831	4.675251386	4.669026766	5.035917111	5.140369671	5.18136763	4.20372321	4.415938902	4.888499736	4.466844606	4.872172094	4.531069493	4.826294245	5.211271834	4.430285273	3.945794957	4.999398752
AARS2	1.337235348	1.371094152	1.605652359	1.656877683	1.141868716	1.76836079	1.584962501	2.275007047	1.03796785	2.252980741	1.40780593	2.135315965	3.218264536	0	3.099856237	1.318075769	1.461179281	0.742724863	1.542670779	0.019108823	1.461179281	2.404176507	2.161350266	1.976974559	2.146220741	3.150559677	1.461179281	0	1.398715194	2.589763487	1.762703156	0.009586049	3.345774837	1.765534746	2.019108823	1.461179281	1.847996907	1.461179281	0.009586049	2.242856524	2.201633861	1.389566812	1.418639736	1.967168608	2.378511623	2.48370831	0.672048117	2.372952098	2.811471031	1.321928095	1.514332704	1.418639736	2.630716096	2.114367025	1.869213392	2.161350266	0.739848103	1.578536232	0	2.925999419	2.765534746	1.385891154	1.113255978	0.754174884	1.418639736	1.814208593	1.294743266	1.425817338	0	0.799087306	1.987927168	2.069243877	2.382206107	1.389566812	1.559083869	2.081794091	0.559083869	0.565597176	1.481987743	0.799087306	1.385891154	3.07153387	1.600904045	1.318075769	1.004800986	1.82374936	1.877089818	2.102098188	0	1.457681837
ABAT	0	1.371094152	3.160274831	0	1.141868716	0.635367454	1.197446064	2.931052646	1.03796785	1.31421313	0	2.645394244	2.253989266	0	0	0	1.834576391	1.826463745	0.565597176	2.416839742	1.855989697	0.363638347	1.209973162	2.283921772	2.772589504	0.701918647	0.821029859	0.429392792	1.803227036	2.088593923	0	0.009586049	5.524815928	0.748461233	0.559083869	1.461179281	2.086330872	2.032100843	0.009586049	0.742724863	0.565597176	1.389566812	0	0	0	3.07153387	2.569653111	4.11242213	0	1.321928095	2.799087306	0.499101764	1.887525271	4.767654798	0	0.559083869	1.385891154	2.088593923	0.591360272	3.523561956	1.644625422	1.385891154	2.207892852	0	1.418639736	1.814208593	1.684070646	2.367371066	0	3.269033146	0	0.701918647	0	0.748461233	1.559083869	1.329602023	2.704871964	0.565597176	3.527320608	0.799087306	2.12763328	2.174193333	0	1.915839552	2.088593923	2.088593923	0	0	2.568032105	1.90560763
ABCA13	1.722466024	2.047305715	0.995182984	0.635367454	0	0.635367454	0.578536232	0	0	2.007195501	0	0	1.30256277	0	1.242856524	2.063502942	0.812840461	0.742724863	2.691534165	3.89917563	0	0.363638347	0.591360272	0	0	0.701918647	0	0.983069604	0.748461233	1.754174884	1.074962058	2.222392421	2.380360048	0.748461233	0.559083869	1.461179281	2.610385098	2.032100843	1.461179281	0.742724863	0	0	0.736965594	1.967168608	1.084064265	0	0	1.831877241	1.310340121	0	0	1.722466024	0.539365634	0.804604311	0	0.559083869	1.385891154	1.310340121	0.591360272	1.59454855	0.980634675	1.701918647	2.797012978	1.404176507	0	0	0.635367454	0	0.591360272	2.358021097	0	0	0.884923476	0	0.27897595	1.748461233	2.542670779	0.565597176	1.481987743	0.799087306	0	1	0	2.320003218	0	0	2.732631004	0	0	2.251971511
