barcode	ips_ctla4_neg_pd1_neg	ips_ctla4_neg_pd1_pos	ips_ctla4_pos_pd1_neg	ips_ctla4_pos_pd1_pos
TCGA-WS-AB45	6	6	6	6
TCGA-SS-A7HO	6	5	6	5
TCGA-D5-6927	6	6	6	6
TCGA-AD-A5EJ	6	5	6	5
TCGA-AA-3947	6	5	6	5
TCGA-NH-A5IV	7	6	6	5
TCGA-G4-6298	7	5	6	5
TCGA-F4-6703	7	7	7	7
TCGA-DM-A28H	7	6	7	5
TCGA-DM-A1HB	7	6	7	5
TCGA-D5-6926	7	7	7	6
TCGA-D5-6898	7	6	7	5
TCGA-CK-6748	7	6	7	5
TCGA-CK-4952	7	6	7	5
TCGA-CA-6717	7	6	7	6
TCGA-AZ-6607	7	7	7	7
TCGA-AZ-6601	7	7	7	7
TCGA-AA-A01D	7	5	7	5
TCGA-AA-A010	7	6	8	6
TCGA-AA-A00J	7	6	7	5
TCGA-AA-3966	7	6	7	6
TCGA-AA-3950	7	7	7	7
TCGA-AA-3815	7	7	7	7
TCGA-AA-3663	7	6	7	6
TCGA-AA-3555	7	6	7	5
TCGA-A6-A566	7	6	7	6
TCGA-A6-6654	7	7	7	7
TCGA-A6-2686	7	7	7	7
TCGA-QG-A5Z1	8	6	7	5
TCGA-NH-A8F7	8	6	8	6
TCGA-NH-A50V	8	7	8	7
TCGA-G4-6586	8	7	8	7
TCGA-G4-6314	8	6	8	6
TCGA-G4-6311	8	7	8	6
TCGA-G4-6307	8	6	8	6
TCGA-G4-6303	8	6	7	6
TCGA-F4-6855	8	6	7	6
TCGA-F4-6854	8	7	8	6
TCGA-F4-6805	8	7	8	7
TCGA-F4-6570	8	7	7	7
TCGA-F4-6463	8	6	8	6
TCGA-F4-6459	8	6	7	6
TCGA-DM-A28G	8	7	8	6
TCGA-DM-A285	8	6	8	5
TCGA-DM-A1D0	8	6	7	5
TCGA-D5-7000	8	7	8	7
TCGA-D5-6932	8	7	8	7
TCGA-D5-6928	8	9	8	9
TCGA-D5-6924	8	7	8	7
TCGA-D5-6923	8	6	7	6
TCGA-D5-6922	8	7	8	7
TCGA-D5-6541	8	7	8	7
TCGA-D5-6538	8	6	7	5
TCGA-D5-6537	8	7	8	6
TCGA-D5-6536	8	6	8	6
TCGA-D5-6534	8	8	8	8
TCGA-D5-6530	8	7	7	7
TCGA-D5-6529	8	8	8	7
TCGA-D5-5541	8	7	7	6
TCGA-D5-5540	8	6	7	6
TCGA-D5-5539	8	7	8	6
TCGA-D5-5538	8	7	8	7
TCGA-CM-6676	8	6	7	5
TCGA-CM-6171	8	6	7	6
TCGA-CM-6170	8	7	8	7
TCGA-CM-6169	8	7	8	7
TCGA-CM-6168	8	7	8	7
TCGA-CM-6166	8	6	7	5
TCGA-CM-6165	8	7	8	6
TCGA-CM-6162	8	8	8	7
TCGA-CM-6161	8	7	8	6
TCGA-CM-5862	8	7	8	6
TCGA-CM-5349	8	6	7	6
TCGA-CM-5348	8	6	7	6
TCGA-CM-4747	8	7	8	6
TCGA-CM-4746	8	7	8	6
TCGA-CK-5916	8	7	7	7
TCGA-CK-5915	8	6	7	5
TCGA-CK-4951	8	7	8	7
TCGA-CK-4948	8	6	8	6
TCGA-CA-6719	8	7	8	7
TCGA-CA-6716	8	6	7	5
TCGA-AZ-6598	8	7	7	6
TCGA-AZ-5403	8	6	7	6
TCGA-AZ-4315	8	7	7	6
TCGA-AY-6196	8	8	8	8
TCGA-AM-5821	8	9	8	8
TCGA-AM-5820	8	6	7	6
TCGA-AD-6964	8	8	8	8
TCGA-AD-6901	8	7	8	7
TCGA-AD-5900	8	7	8	7
TCGA-AA-A02F	8	6	7	5
TCGA-AA-A01X	8	6	7	5
TCGA-AA-A01Q	8	7	8	7
TCGA-AA-A017	8	6	8	6
TCGA-AA-A00R	8	8	8	8
TCGA-AA-A00O	8	7	8	6
TCGA-AA-A00N	8	7	8	7
TCGA-AA-3984	8	7	8	7
TCGA-AA-3977	8	7	8	7
TCGA-AA-3949	8	9	8	8
TCGA-AA-3867	8	7	8	6
TCGA-AA-3864	8	7	8	6
TCGA-AA-3833	8	7	8	7
TCGA-AA-3831	8	6	7	6
TCGA-AA-3713	8	7	8	7
TCGA-AA-3696	8	6	7	5
TCGA-AA-3692	8	7	8	6
TCGA-AA-3678	8	7	8	7
TCGA-AA-3664	8	7	8	7
TCGA-AA-3554	8	8	8	7
TCGA-AA-3543	8	8	8	7
TCGA-AA-3542	8	6	8	6
TCGA-AA-3538	8	6	7	5
TCGA-AA-3534	8	6	7	5
TCGA-AA-3529	8	6	8	6
TCGA-AA-3521	8	7	8	6
TCGA-AA-3509	8	7	8	6
TCGA-AA-3496	8	8	8	7
TCGA-AA-3494	8	7	8	6
TCGA-AA-3492	8	7	8	7
TCGA-AA-3489	8	8	8	7
TCGA-AA-3488	8	7	8	6
TCGA-A6-A56B	8	6	7	5
TCGA-A6-6781	8	7	7	7
TCGA-A6-6780	8	8	8	8
TCGA-A6-6651	8	7	7	6
TCGA-A6-6142	8	6	7	6
TCGA-A6-5667	8	6	8	6
TCGA-A6-5665	8	7	8	6
TCGA-A6-5664	8	7	8	7
TCGA-A6-5660	8	6	8	6
TCGA-A6-4105	8	7	8	7
TCGA-A6-3809	8	8	8	8
TCGA-A6-2685	8	7	8	7
TCGA-A6-2684	8	7	8	7
TCGA-A6-2682	8	6	7	6
TCGA-A6-2678	8	7	8	6
TCGA-A6-2675	8	7	8	7
TCGA-A6-2674	8	8	8	7
TCGA-A6-2672	8	8	8	8
TCGA-A6-2671	8	7	8	7
TCGA-5M-AAT6	8	8	8	8
TCGA-5M-AAT4	8	7	8	6
TCGA-3L-AA1B	8	7	8	6
TCGA-QG-A5YW	9	8	9	7
TCGA-QG-A5YV	9	7	8	7
TCGA-NH-A8F8	9	7	8	7
TCGA-NH-A6GA	9	7	9	7
TCGA-NH-A50U	9	7	8	7
TCGA-NH-A50T	9	7	9	7
TCGA-G4-6628	9	9	9	9
TCGA-G4-6627	9	8	9	7
TCGA-G4-6625	9	9	9	9
TCGA-G4-6588	9	7	8	7
TCGA-G4-6317	9	7	8	7
TCGA-G4-6315	9	7	8	6
TCGA-G4-6310	9	7	8	6
TCGA-G4-6309	9	8	9	7
TCGA-G4-6304	9	8	9	7
TCGA-G4-6302	9	7	8	7
TCGA-G4-6299	9	8	9	8
TCGA-G4-6297	9	8	9	8
TCGA-G4-6295	9	8	9	8
TCGA-G4-6293	9	8	9	8
TCGA-F4-6809	9	8	9	7
TCGA-F4-6808	9	7	9	7
TCGA-F4-6807	9	8	9	8
TCGA-F4-6704	9	8	8	7
TCGA-F4-6569	9	7	8	7
TCGA-F4-6461	9	8	9	8
TCGA-F4-6460	9	7	8	7
TCGA-DM-A28C	9	7	8	6
TCGA-DM-A28A	9	7	8	7
TCGA-DM-A288	9	7	8	6
TCGA-DM-A282	9	7	8	6
TCGA-DM-A280	9	7	8	7
TCGA-DM-A1DB	9	8	9	7
TCGA-DM-A1D9	9	7	8	6
TCGA-DM-A1D7	9	7	9	7
TCGA-DM-A0XF	9	7	8	7
TCGA-D5-6931	9	8	8	7
TCGA-D5-6920	9	8	9	7
TCGA-D5-6540	9	8	9	7
TCGA-D5-6539	9	8	9	7
TCGA-D5-6533	9	7	8	7
TCGA-D5-6531	9	8	8	8
TCGA-CM-6680	9	8	8	7
TCGA-CM-6679	9	7	8	7
TCGA-CM-6678	9	7	8	6
TCGA-CM-6677	9	7	8	7
TCGA-CM-6674	9	8	9	7
TCGA-CM-6172	9	8	9	7
TCGA-CM-6167	9	7	8	7
TCGA-CM-6164	9	8	9	7
TCGA-CM-6163	9	7	8	7
TCGA-CM-5868	9	7	9	7
TCGA-CM-5864	9	8	9	7
TCGA-CM-5863	9	7	8	6
TCGA-CM-5860	9	8	9	8
TCGA-CM-5344	9	7	8	6
TCGA-CM-5341	9	7	8	7
TCGA-CK-6746	9	9	9	9
TCGA-CK-5913	9	8	9	8
TCGA-CK-4950	9	8	9	8
TCGA-CK-4947	9	8	9	8
TCGA-CA-6718	9	9	9	9
TCGA-CA-6715	9	7	8	6
TCGA-CA-5797	9	7	8	7
TCGA-CA-5256	9	8	9	7
TCGA-CA-5254	9	8	9	7
TCGA-AZ-6608	9	7	9	7
TCGA-AZ-6605	9	8	8	7
TCGA-AZ-6603	9	7	8	7
TCGA-AZ-6600	9	8	9	7
TCGA-AZ-5407	9	7	9	7
TCGA-AZ-4684	9	7	8	7
TCGA-AZ-4615	9	9	9	8
TCGA-AZ-4614	9	7	9	7
TCGA-AZ-4323	9	8	9	8
TCGA-AY-A8YK	9	7	9	7
TCGA-AY-A71X	9	7	9	7
TCGA-AY-A69D	9	7	8	7
TCGA-AY-A54L	9	7	8	6
TCGA-AY-6386	9	8	9	7
TCGA-AY-4070	9	7	9	7
TCGA-AU-6004	9	8	9	8
TCGA-AU-3779	9	8	9	8
TCGA-AD-A5EK	9	7	8	6
TCGA-AD-6965	9	8	9	7
TCGA-AD-6899	9	8	8	7
TCGA-AD-6890	9	8	9	8
TCGA-AD-6889	9	8	9	7
TCGA-AD-6888	9	7	8	7
TCGA-AD-6548	9	8	8	7
TCGA-AA-A02W	9	7	8	6
TCGA-AA-A02R	9	9	9	8
TCGA-AA-A02O	9	7	9	7
TCGA-AA-A02K	9	7	8	6
TCGA-AA-A02J	9	7	8	6
TCGA-AA-A02H	9	7	9	7
TCGA-AA-A024	9	8	9	8
TCGA-AA-A01V	9	9	10	9
TCGA-AA-A01P	9	9	9	9
TCGA-AA-A01K	9	8	9	8
TCGA-AA-A01F	9	8	9	7
TCGA-AA-A01C	9	8	9	7
TCGA-AA-A00Z	9	8	9	7
TCGA-AA-A00U	9	7	8	7
TCGA-AA-A00Q	9	7	8	7
TCGA-AA-A00K	9	7	9	7
TCGA-AA-A00F	9	7	8	7
TCGA-AA-A00E	9	8	9	8
TCGA-AA-A00D	9	9	9	9
TCGA-AA-A00A	9	8	9	8
TCGA-AA-3994	9	8	9	8
TCGA-AA-3989	9	8	8	7
TCGA-AA-3986	9	8	9	8
TCGA-AA-3982	9	8	9	7
TCGA-AA-3980	9	8	9	8
TCGA-AA-3979	9	8	9	7
TCGA-AA-3976	9	7	8	7
TCGA-AA-3975	9	7	9	7
TCGA-AA-3973	9	8	9	7
TCGA-AA-3972	9	7	8	7
TCGA-AA-3970	9	8	9	8
TCGA-AA-3968	9	8	8	7
TCGA-AA-3956	9	8	9	7
TCGA-AA-3955	9	7	8	7
TCGA-AA-3952	9	7	8	6
TCGA-AA-3941	9	7	9	7
TCGA-AA-3939	9	7	9	7
TCGA-AA-3930	9	8	9	7
TCGA-AA-3877	9	8	9	8
TCGA-AA-3875	9	7	8	7
TCGA-AA-3872	9	7	8	7
TCGA-AA-3870	9	8	8	8
TCGA-AA-3869	9	8	9	8
TCGA-AA-3866	9	8	8	8
TCGA-AA-3860	9	8	9	8
TCGA-AA-3858	9	8	9	7
TCGA-AA-3854	9	7	8	7
TCGA-AA-3852	9	8	9	7
TCGA-AA-3850	9	8	9	8
TCGA-AA-3845	9	9	8	9
TCGA-AA-3842	9	8	9	7
